years_experience,skills_match_score,education_level,resume_length,shortlisted
6,84.7,Bachelors,234,0
3,59.1,Masters,502,0
12,100.0,Masters,753,1
14,66.8,High School,529,1
10,99.6,Bachelors,754,1
7,74.1,Bachelors,575,1
12,87.5,Bachelors,516,1
4,54.2,Masters,335,0
6,80.4,Bachelors,462,1
9,87.0,Bachelors,592,1
2,52.1,High School,571,0
6,37.5,Bachelors,577,1
10,68.3,PhD,693,1
10,60.8,Bachelors,735,1
7,82.0,Masters,617,1
4,62.3,Masters,466,0
3,56.8,Bachelors,406,0
7,66.8,Masters,332,1
7,93.5,Bachelors,454,1
2,65.9,Masters,302,0
5,70.5,Bachelors,344,0
4,60.0,Masters,653,1
1,54.6,High School,278,0
7,60.6,Masters,658,1
11,80.2,High School,551,1
13,70.1,Masters,529,1
5,78.7,Bachelors,646,1
1,52.2,Masters,271,0
15,100.0,Bachelors,683,1
11,100.0,Bachelors,393,1
4,69.3,Masters,673,1
0,84.7,PhD,223,0
11,86.3,High School,823,1
9,61.5,PhD,729,1
5,72.9,Masters,488,1
12,92.8,Masters,584,1
11,88.5,Bachelors,754,1
8,76.2,Bachelors,804,1
0,63.7,Masters,607,0
10,77.6,Bachelors,740,1
10,79.5,Bachelors,709,1
14,62.6,High School,750,1
9,72.0,Bachelors,747,1
15,69.5,Masters,662,1
11,75.8,Masters,517,1
11,74.4,Masters,562,1
15,77.7,Bachelors,716,1
14,69.7,Bachelors,900,1
13,87.5,Bachelors,699,1
13,78.7,Bachelors,667,1
14,82.9,Masters,810,1
13,66.1,Masters,682,1
2,52.5,High School,389,0
11,100.0,Masters,434,1
6,86.9,Bachelors,437,1
3,72.9,Masters,452,0
15,83.1,Bachelors,715,1
8,85.6,Masters,471,1
2,51.5,Bachelors,659,0
4,61.0,Bachelors,301,1
2,45.9,High School,513,0
6,83.1,Bachelors,559,1
4,72.7,High School,374,0
8,73.0,Bachelors,550,1
6,95.5,Bachelors,395,1
1,69.4,Masters,556,0
3,64.3,High School,679,0
8,81.0,Masters,611,1
11,60.6,Bachelors,865,1
13,77.6,PhD,747,1
1,66.2,PhD,511,0
9,74.8,Bachelors,681,1
8,86.1,Masters,400,1
9,61.0,High School,773,1
4,74.1,PhD,605,1
1,60.8,Bachelors,320,0
3,60.9,High School,384,0
11,79.7,Bachelors,676,1
14,59.9,High School,716,1
11,45.6,Bachelors,727,1
6,59.1,Masters,670,1
11,71.5,Bachelors,739,1
12,63.8,Bachelors,507,1
7,70.7,Bachelors,729,1
14,100.0,Bachelors,730,1
2,72.4,Bachelors,390,0
13,94.2,Masters,667,1
0,72.3,Bachelors,302,0
3,53.4,Masters,287,1
1,52.6,Bachelors,452,0
7,80.7,Bachelors,576,0
3,60.1,Masters,307,1
1,53.2,Bachelors,530,0
13,100.0,Bachelors,564,1
5,72.7,Masters,420,1
5,94.0,Bachelors,523,1
9,48.2,Bachelors,553,0
3,57.8,Masters,388,0
5,77.4,Masters,415,1
12,78.4,High School,759,1
14,54.7,Bachelors,702,1
1,51.6,High School,449,0
9,100.0,Bachelors,395,1
11,87.0,Masters,696,1
1,72.3,Masters,369,0
9,69.6,Masters,671,1
13,82.6,High School,656,1
3,63.3,Bachelors,422,0
13,100.0,Masters,898,1
14,100.0,Bachelors,709,1
15,97.4,Masters,900,1
14,90.3,Masters,900,1
7,53.8,PhD,746,1
13,53.3,High School,718,1
6,70.7,Bachelors,537,1
11,96.4,Masters,599,1
8,97.2,Masters,480,1
13,73.9,Masters,826,1
7,44.4,High School,594,0
4,83.2,Masters,531,1
15,79.0,Masters,620,1
12,53.3,High School,577,1
1,52.1,Bachelors,365,0
14,81.6,Masters,772,1
4,85.3,Bachelors,302,1
7,84.5,Bachelors,480,1
9,68.2,Masters,826,0
8,94.5,Bachelors,608,1
11,85.1,Masters,722,1
11,95.4,Bachelors,807,1
11,99.4,Bachelors,648,1
12,85.1,PhD,688,1
8,89.6,PhD,236,1
12,70.9,High School,767,1
14,100.0,Masters,739,1
12,82.9,Bachelors,842,1
0,67.4,High School,415,0
8,96.4,Bachelors,444,1
6,77.7,Bachelors,648,0
8,75.8,Masters,743,1
7,74.1,Masters,590,1
0,20.6,PhD,169,0
11,72.6,Masters,625,1
7,85.5,Bachelors,515,1
7,89.8,Masters,719,1
14,82.0,PhD,830,1
10,83.7,Masters,665,1
2,62.4,Masters,439,1
0,75.3,PhD,328,0
7,100.0,Bachelors,507,1
2,75.9,Masters,324,1
2,55.2,Masters,303,0
0,63.8,PhD,264,0
10,98.5,Bachelors,670,1
4,44.4,Bachelors,278,0
9,70.0,Masters,732,1
6,80.1,Bachelors,503,1
9,98.7,Masters,548,1
8,82.6,Bachelors,440,1
11,70.4,Bachelors,807,1
6,77.5,Bachelors,301,1
8,79.7,Bachelors,750,1
7,76.8,Bachelors,441,1
11,78.0,Bachelors,472,1
1,60.3,Bachelors,335,0
0,43.9,Bachelors,415,0
15,100.0,High School,808,1
6,71.9,Bachelors,378,1
6,81.5,Masters,498,1
13,84.0,Masters,790,1
7,84.2,Bachelors,546,1
4,46.0,Bachelors,308,0
2,39.1,Masters,507,0
11,79.0,Bachelors,582,1
7,100.0,PhD,326,1
5,89.4,Masters,534,1
10,65.4,Bachelors,900,1
2,69.2,Bachelors,378,0
0,48.0,Bachelors,394,0
2,63.4,High School,581,0
4,73.1,Bachelors,380,0
14,99.4,Bachelors,792,1
13,63.8,Masters,670,1
2,42.5,Bachelors,296,0
0,51.9,High School,150,0
4,53.8,Masters,553,1
9,58.9,Bachelors,437,1
6,73.6,Bachelors,571,1
14,71.8,Bachelors,783,1
13,100.0,Masters,537,1
6,69.0,PhD,676,1
10,68.9,High School,447,1
8,78.0,Bachelors,687,1
14,62.9,Bachelors,469,1
14,93.1,Bachelors,755,1
9,80.6,Bachelors,652,1
9,74.0,Masters,591,1
11,91.1,PhD,879,1
12,87.9,Bachelors,900,1
2,83.0,Bachelors,504,0
14,100.0,Masters,900,1
15,71.6,Bachelors,593,1
6,50.0,Bachelors,414,1
0,59.0,Bachelors,390,0
3,32.3,Bachelors,334,0
12,91.2,Bachelors,508,1
15,92.9,Masters,900,1
3,72.8,Masters,426,0
13,78.9,Bachelors,478,1
4,64.8,High School,579,0
6,84.1,PhD,522,1
6,72.5,Bachelors,348,1
12,65.1,Masters,723,1
14,83.6,High School,673,1
10,100.0,Bachelors,694,1
12,85.1,Bachelors,684,1
3,69.3,Masters,424,1
12,100.0,High School,776,1
15,76.3,Bachelors,641,1
6,82.8,Bachelors,583,1
10,73.3,Masters,729,1
2,85.3,PhD,267,1
5,87.0,PhD,517,1
11,80.8,PhD,757,1
1,51.0,High School,548,0
9,85.7,High School,564,1
12,53.7,Bachelors,669,1
13,76.9,Bachelors,855,1
8,86.6,Masters,693,1
4,64.6,Masters,410,0
5,69.5,Bachelors,417,0
11,52.6,Masters,745,1
11,74.2,PhD,710,1
11,89.7,Bachelors,544,1
11,68.2,Bachelors,768,1
3,44.0,Bachelors,230,0
13,99.4,Bachelors,705,1
13,95.0,Masters,900,1
10,61.2,Bachelors,463,1
15,85.1,High School,900,1
9,67.2,PhD,439,1
6,67.2,Bachelors,532,1
11,82.1,Bachelors,831,1
8,68.9,PhD,552,1
6,80.6,Bachelors,652,1
13,97.0,Bachelors,817,1
0,65.2,Masters,332,0
0,63.7,Bachelors,386,0
8,55.5,Masters,557,0
10,97.9,Bachelors,695,1
13,77.6,High School,460,1
8,59.5,Bachelors,595,1
3,65.7,Bachelors,626,1
12,96.4,Masters,758,1
8,84.9,Masters,731,1
2,52.7,PhD,361,0
6,84.6,Masters,655,1
5,66.6,Bachelors,287,1
7,82.8,Masters,678,1
10,69.2,Masters,528,1
8,92.9,Masters,350,1
13,90.0,Masters,725,1
4,87.1,Masters,413,1
0,34.5,Bachelors,408,0
2,44.2,Masters,276,0
9,71.9,Bachelors,607,1
11,100.0,Bachelors,322,1
7,100.0,Masters,472,1
14,72.2,Bachelors,693,1
10,73.8,High School,526,1
5,65.3,High School,405,0
15,100.0,Masters,783,1
15,100.0,Bachelors,871,1
7,58.5,Masters,435,1
8,74.5,Bachelors,596,1
3,33.4,Bachelors,417,0
0,69.7,Bachelors,459,0
13,82.2,Masters,756,1
0,39.4,Bachelors,376,0
9,88.0,PhD,375,1
3,65.5,PhD,474,1
11,100.0,Masters,635,1
13,77.6,PhD,615,1
6,100.0,Bachelors,577,1
1,72.3,Bachelors,150,0
2,84.6,Masters,443,1
0,45.8,Masters,463,0
4,96.1,Masters,471,1
0,43.1,Masters,311,0
7,75.9,PhD,648,1
0,77.1,Bachelors,548,0
10,88.9,Masters,492,1
0,42.7,Masters,343,0
1,80.3,Masters,477,0
1,64.6,Bachelors,223,0
11,77.0,Masters,876,1
5,51.9,PhD,404,1
6,76.0,Bachelors,616,1
4,66.8,Masters,334,1
15,89.8,Bachelors,652,1
0,41.2,PhD,401,0
0,51.2,Bachelors,292,0
2,68.7,Bachelors,341,0
13,100.0,Bachelors,701,1
1,60.2,Masters,350,0
4,82.6,High School,676,0
11,95.1,Masters,751,1
9,86.5,PhD,703,1
15,76.1,Masters,900,1
5,48.4,High School,702,0
15,100.0,PhD,768,1
6,65.4,Masters,505,1
3,54.3,Bachelors,470,0
6,62.3,High School,545,1
10,75.0,Bachelors,768,1
7,88.8,Masters,770,1
10,65.4,High School,691,1
0,69.5,Bachelors,270,0
14,95.8,Masters,765,1
5,46.1,Masters,565,1
7,79.7,Masters,483,1
4,29.2,Masters,694,1
3,45.6,High School,524,0
1,70.2,Masters,472,0
5,67.3,Bachelors,566,0
5,44.7,Masters,489,0
10,64.5,Masters,504,1
14,46.4,Bachelors,597,1
15,74.9,PhD,684,1
15,96.2,Bachelors,745,1
0,44.6,High School,296,0
8,83.5,PhD,585,1
11,83.5,Masters,765,1
10,81.7,Masters,781,1
5,82.8,Bachelors,538,0
